chain_id,source_file,symbolic_checker_verdict,included_in_pool,exclusion_reason
gen9ou-2257406016_p1,real_v2,intact,True,
gen9ou-2257406016_p2,real_v2,intact,True,
gen9ou-2257492961_p1,real_v2,intact,True,
gen9ou-2257492961_p2,real_v2,intact,True,
gen9ou-2257513778_p1,real_v2,intact,True,
gen9ou-2257513778_p2,real_v2,intact,True,
gen9ou-2257584215_p1,real_v2,intact,True,
gen9ou-2257881875_p1,real_v2,intact,True,
gen9ou-2257881875_p2,real_v2,intact,True,
gen9ou-2258211183_p1,real_v2,intact,True,
gen9ou-2258211183_p2,real_v2,intact,True,
gen9ou-2258227966_p1,real_v2,intact,True,
gen9ou-2258227966_p2,real_v2,intact,True,
gen9ou-2258254196_p1,real_v2,intact,True,
gen9ou-2258254196_p2,real_v2,intact,True,
gen9ou-2258274990_p1,real_v2,intact,True,
gen9ou-2258274990_p2,real_v2,intact,True,
gen9ou-2258312019_p1,real_v2,intact,True,
gen9ou-2258312019_p2,real_v2,intact,True,
gen9ou-2258621849_p1,real_v2,intact,True,
gen9ou-2258621849_p2,real_v2,intact,True,
gen9ou-2258656809_p1,real_v2,intact,True,
gen9ou-2258656809_p2,real_v2,intact,True,
gen9ou-2258730587_p1,real_v2,intact,True,
gen9ou-2258730587_p2,real_v2,intact,True,
gen9ou-2258746881_p1,real_v2,intact,True,
gen9ou-2258746881_p2,real_v2,intact,True,
gen9ou-2258850742_p1,real_v2,intact,True,
gen9ou-2258850742_p2,real_v2,intact,True,
gen9ou-2258867675_p1,real_v2,intact,True,
gen9ou-2258867675_p2,real_v2,intact,True,
gen9ou-2258921485_p1,real_v2,intact,True,
gen9ou-2258921485_p2,real_v2,intact,True,
gen9ou-2259023721_p1,real_v2,intact,True,
gen9ou-2259023721_p2,real_v2,intact,True,
gen9ou-2259030274_p1,real_v2,intact,True,
gen9ou-2259030274_p2,real_v2,intact,True,
gen9ou-2259087318_p1,real_v2,intact,True,
gen9ou-2259087318_p2,real_v2,intact,True,
gen9ou-2259115827_p1,real_v2,intact,True,
gen9ou-2259115827_p2,real_v2,intact,True,
gen9ou-2259137722_p1,real_v2,intact,True,
gen9ou-2259137722_p2,real_v2,intact,True,
gen9ou-2259142531_p1,real_v2,intact,True,
gen9ou-2259142531_p2,real_v2,intact,True,
gen9ou-2259205404_p1,real_v2,intact,True,
gen9ou-2259205404_p2,real_v2,intact,True,
gen9ou-2259269506_p1,real_v2,intact,True,
gen9ou-2259269506_p2,real_v2,intact,True,
gen9ou-2259278284_p1,real_v2,intact,True,
gen9ou-2259278284_p2,real_v2,intact,True,
gen9ou-2259319027_p1,real_v2,intact,True,
gen9ou-2259319027_p2,real_v2,intact,True,
gen9ou-2259356323_p1,real_v2,intact,True,
gen9ou-2259356323_p2,real_v2,intact,True,
gen9ou-2259381023_p1,real_v2,intact,True,
gen9ou-2259381023_p2,real_v2,intact,True,
gen9ou-2259486906_p1,real_v2,intact,True,
gen9ou-2259486906_p2,real_v2,intact,True,
gen9ou-2259565497_p1,real_v2,intact,True,
gen9ou-2259565497_p2,real_v2,intact,True,
gen9ou-2259597236_p1,real_v2,intact,True,
gen9ou-2259597236_p2,real_v2,intact,True,
gen9ou-2259654450_p1,real_v2,intact,True,
gen9ou-2259654450_p2,real_v2,intact,True,
gen9ou-2259765492_p1,real_v2,intact,True,
gen9ou-2259765492_p2,real_v2,intact,True,
gen9ou-2259811960_p1,real_v2,intact,True,
gen9ou-2259811960_p2,real_v2,intact,True,
gen9ou-2260112971_p1,real_v2,intact,True,
gen9ou-2260112971_p2,real_v2,intact,True,
gen9ou-2260115725_p2,real_v2,intact,True,
gen9ou-2260116952_p1,real_v2,intact,True,
